2018/12/21 14:54:40 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/categoryIcon/ec2c771ff8964bcb9e5dde33b489f534/ec2c771ff8964bcb9e5dde33b489f534.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/categoryIcon/ec2c771ff8964bcb9e5dde33b489f534/ec2c771ff8964bcb9e5dde33b489f534.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/995e29738af64fa5bc3ca560eaa5acd6/photo/995e29738af64fa5bc3ca560eaa5acd6.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/995e29738af64fa5bc3ca560eaa5acd6/photo/995e29738af64fa5bc3ca560eaa5acd6.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *12 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/a390cab5ddfa46849377c42e65f47ce5/photo/a390cab5ddfa46849377c42e65f47ce5.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/a390cab5ddfa46849377c42e65f47ce5/photo/a390cab5ddfa46849377c42e65f47ce5.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *12 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/fc466d0f717648ecad73e0db837d6d8c/photo/fc466d0f717648ecad73e0db837d6d8c.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/fc466d0f717648ecad73e0db837d6d8c/photo/fc466d0f717648ecad73e0db837d6d8c.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *12 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/7ff2ded291104e2893d4a93fb5557002/photo/7ff2ded291104e2893d4a93fb5557002.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/7ff2ded291104e2893d4a93fb5557002/photo/7ff2ded291104e2893d4a93fb5557002.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/795fac7e28ac4665a3f115feb71bc95a/photo/795fac7e28ac4665a3f115feb71bc95a.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/795fac7e28ac4665a3f115feb71bc95a/photo/795fac7e28ac4665a3f115feb71bc95a.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/372d5677cf27424da76cf519606e853d/photo/372d5677cf27424da76cf519606e853d.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/372d5677cf27424da76cf519606e853d/photo/372d5677cf27424da76cf519606e853d.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/2030923b0cd74ec7baac9e4901a64264/photo/2030923b0cd74ec7baac9e4901a64264.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/2030923b0cd74ec7baac9e4901a64264/photo/2030923b0cd74ec7baac9e4901a64264.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/12434b28acbc49b1ac4b27e0900ac9ae/photo/12434b28acbc49b1ac4b27e0900ac9ae.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/12434b28acbc49b1ac4b27e0900ac9ae/photo/12434b28acbc49b1ac4b27e0900ac9ae.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/16874b691e3f4a4ca779886169888030/photo/16874b691e3f4a4ca779886169888030.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/16874b691e3f4a4ca779886169888030/photo/16874b691e3f4a4ca779886169888030.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/fc6be8d21077416ea3e8994f6a545c8f/photo/fc6be8d21077416ea3e8994f6a545c8f.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/fc6be8d21077416ea3e8994f6a545c8f/photo/fc6be8d21077416ea3e8994f6a545c8f.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:48 [error] 4884#7956: *8 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/dba7185743bf41e1b46e06e9c90891be/photo/dba7185743bf41e1b46e06e9c90891be.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/dba7185743bf41e1b46e06e9c90891be/photo/dba7185743bf41e1b46e06e9c90891be.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
2018/12/21 14:54:48 [error] 4884#7956: *6 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/school/cdf64019e44e483b8d3d08b34bc9d672/teacher/4519fe7e7dd8429fa5d70d1af46d0d4e/photo/4519fe7e7dd8429fa5d70d1af46d0d4e.png" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/school/cdf64019e44e483b8d3d08b34bc9d672/teacher/4519fe7e7dd8429fa5d70d1af46d0d4e/photo/4519fe7e7dd8429fa5d70d1af46d0d4e.png HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/courselist.html"
